drug_name,toxtype,smiles,dose,dose_label,ID,predicted_activity_ppb,predicted_activity_cmax,ppb,cmax(ug/ml),cmax_free(ug/ml),molecular_weight,cmax_free(uM)
BIA 10-2474,Nervous system disorders,CN(C(=O)n1cnc(-c2ccc[n+]([O-])c2)c1)C1CCCCC1,300,tensor([40]),PAIR_0,-0.4157547354698181,0.3453669250011444,0.6166926902274782,2.214965290388516,0.8490123866983347,300.3620000000002,2.826630488205346
Acomplia,Nervous system disorders,Cc1c(C(=O)NN2CCCCC2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1,300,tensor([40]),PAIR_1,-2.5325281620025635,0.18491943180561066,0.9980639847485246,1.530803448147903,0.002963658822625401,463.79600000000016,0.006390005137227143
Rubraca,,CNCc1ccc(-c2[nH]c3cc(F)cc4c3c2CCNC4=O)cc1,300,tensor([40]),PAIR_2,-0.7886034846305847,-0.2640286087989807,0.8381347771410578,0.5444667853503848,0.08813023755003191,323.371,0.27253599596139394
lanifibranor,Hepatobiliary disorders,O=C(O)CCCc1cc2cc(Cl)ccc2n1S(=O)(=O)c1ccc2ncsc2c1,300,tensor([40]),PAIR_3,-1.9346086978912354,1.280621886253357,0.9893644088282434,19.08191189325198,0.2029474136721082,434.92600000000016,0.4666251584685857
hydroxychloroquine,Cardiac disorders,CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12,300,tensor([40]),PAIR_4,-0.4868767559528351,-0.590082585811615,0.6747455655339835,0.25699070405708596,0.08358736611111092,335.8790000000001,0.2488615427314923
Nuplazid,,CC(C)COc1ccc(CNC(=O)N(Cc2ccc(F)cc2)C2CCN(C)CC2)cc1,300,tensor([40]),PAIR_5,-1.5037028789520264,-0.5524262189865112,0.9696153144723826,0.2802681720586764,0.008515860271403053,427.5640000000002,0.01991715923558356
Atabecestat,Hepatobiliary disorders,C[C@@]1(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)C=CSC(N)=N1,300,tensor([40]),PAIR_6,-0.9943474531173706,0.44869330525398254,0.8995895355259452,2.809915793031819,0.2821449499113069,367.4090000000001,0.7679315147732004
Finerenone,Renal and urinary disorders;Cardiac disorders;Vascular disorders,CCOc1ncc(C)c2c1[C@H](c1ccc(C#N)cc1OC)C(C(N)=O)=C(C)N2,300,tensor([40]),PAIR_7,-0.9362119436264038,-0.2056460827589035,0.8850638649007854,0.6228076196490062,0.07158310071279846,378.4320000000002,0.1891571027629757
Iptacopan,,CCO[C@H]1CCN(Cc2c(OC)cc(C)c3[nH]ccc23)[C@H](c2ccc(C(=O)O)cc2)C1,300,tensor([40]),PAIR_8,-0.834626317024231,0.8164522647857666,0.8545109282286293,6.553182529670224,0.9534164433900839,422.5250000000002,2.2564734474648445
Aficamten,,CCc1nc(-c2ccc3c(c2)CC[C@H]3NC(=O)c2cnn(C)c2)no1,300,tensor([40]),PAIR_9,-1.4881274700164795,0.4882602393627167,0.968469279796564,3.077940635930143,0.09704968499429904,337.38300000000004,0.28765434237735465
Resmetirom,,CC(C)c1cc(Oc2c(Cl)cc(-n3nc(C#N)c(=O)[nH]c3=O)cc2Cl)n[nH]c1=O,300,tensor([40]),PAIR_10,-1.4097129106521606,0.8302292823791504,0.9620317910514359,6.764400023539999,0.2568321535054387,435.2270000000001,0.5901108008129979
BAY2413555,,C[C@H](NC(=O)c1cn(-c2c(F)cc(F)cc2F)c2nc(N3C[C@@H](O)[C@H](O)C3)c(F)cc2c1=O)C(F)(F)C(F)(F)F,300,tensor([40]),PAIR_11,-1.2688783407211304,0.23100627958774567,0.9471050460855323,1.7021831205681022,0.09003689771643467,584.3950000000003,0.15406856272971983
NVP-DFV890,,CC(C)(O)c1ncc([S@](N)(=O)=NC(=O)Nc2c3c(cc4c2CCC4)CCC3)s1,300,tensor([40]),PAIR_12,-1.2667597532272339,0.6502698063850403,0.9468414870021801,4.469611815150756,0.237597917770901,420.56000000000034,0.5649560532882367
AZD4144,,OC[C@@H](O)CNc1nnc(-c2ccc(C(F)(F)F)cc2O)c2ccccc12,300,tensor([40]),PAIR_13,-1.7332388162612915,0.27827492356300354,0.9824999800261027,1.8979069823670018,0.033213410100021636,379.3380000000001,0.08755624298125057
JT001,Renal and urinary disorders,O=C(Nc1c2c(cc3c1CCC3)CCC2)NS(=O)(=O)c1cnn2c1OCCC2,300,tensor([40]),PAIR_14,-1.5466104745864868,1.1911901235580444,0.9725679124766212,15.530667559996502,0.4260386318023236,402.47600000000017,1.058544190963743
sovleplenib,,CS(=O)(=O)N1CCC(c2ccc(-c3cc4nccnc4c(NC[C@@H]4CNCCO4)n3)cc2)CC1,300,tensor([40]),PAIR_15,-0.7442042231559753,0.28768226504325867,0.8206035948989243,1.939466421939513,0.34793330391019467,482.61000000000035,0.7209409334870691
STX-478,Off-target side effects hyperglycemia and rash,Cc1c([C@@H](NC(=O)Nc2cnc(N)nc2)C(F)(F)F)oc2c(F)cc(F)cc12,300,tensor([40]),PAIR_16,-1.7238271236419678,0.22755670547485352,0.9820946642912983,1.688716339402026,0.03023703297376307,401.2950000000001,0.07534864120849516
inavolisib,hyperglycemia and rash,C[C@H](Nc1ccc2c(c1)OCCn1cc(N3C(=O)OC[C@H]3C(F)F)nc1-2)C(N)=O,300,tensor([40]),PAIR_17,-0.38246870040893555,0.505064845085144,0.5860796231930916,3.1993727766229156,1.324285585245522,407.37700000000007,3.2507617888234286
alpelisib,hyperglycemia and rash,Cc1nc(NC(=O)N2CCC[C@H]2C(N)=O)sc1-c1ccnc(C(C)(C)C(F)(F)F)c1,300,tensor([40]),PAIR_18,-0.831825852394104,0.3877336084842682,0.8535632629691431,2.441932238517445,0.35758858905895086,441.4790000000001,0.8099787058024295
Duvelisib,"common severe side effects include neutropenia (30%), diarrhea (15%), anemia (13%), and colitis (12%)",C[C@H](Nc1ncnc2[nH]cnc12)c1cc2cccc(Cl)c2c(=O)n1-c1ccccc1,300,tensor([40]),PAIR_19,-1.2441542148590088,1.0387845039367676,0.9439477630656022,10.934136819367042,0.6128828276722837,416.8720000000002,1.4701942746749206
Idelalisib,has a higher rate of severe or potentially fatal liver toxicity,CC[C@H](Nc1ncnc2[nH]cnc12)c1nc2cccc(F)c2c(=O)n1-c1ccccc1,300,tensor([40]),PAIR_20,-1.4180080890655518,0.6240015029907227,0.9627690533630324,4.207280844225467,0.15664104859809427,415.43200000000013,0.37705580840689745
Leniolisib,,CCC(=O)N1CC[C@H](Nc2ncnc3c2CN(c2cnc(OC)c(C(F)(F)F)c2)CC3)C1,300,tensor([40]),PAIR_21,-1.0992276668548584,1.0142642259597778,0.921347137607273,10.333899318262326,0.8127907610595816,450.4650000000002,1.8043372094604049
Copanlisib,increase blood pressure,COc1c(OCCCN2CCOCC2)ccc2c1N=C(NC(=O)c1cnc(N)nc1)N1CCN=C21,300,tensor([40]),PAIR_22,-0.6942348480224609,-0.25809845328330994,0.7986060549045799,0.5519522991319847,0.11115985102667782,480.5290000000002,0.2313280801505794
Buparlisib,,Nc1cc(C(F)(F)F)c(-c2cc(N3CCOCC3)nc(N3CCOCC3)n2)cn1,300,tensor([40]),PAIR_23,-0.6649261116981506,0.22873817384243011,0.7844758251046899,1.6933166309954313,0.3649506697317965,410.4000000000002,0.8892560178650007
GDC-0941,,CS(=O)(=O)N1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)CC1,300,tensor([40]),PAIR_24,-1.1797536611557007,0.09562380611896515,0.9348279969663766,1.2463034755051834,0.08122409388643916,513.6490000000003,0.15813151371157952
pilaralisib,,COc1ccc(Cl)c(Nc2nc3ccccc3nc2NS(=O)(=O)c2cccc(NC(=O)C(C)(C)N)c2)c1,300,tensor([40]),PAIR_25,-1.7170227766036987,-0.04026767611503601,0.9817961149289688,0.9114488973751343,0.016591910975935067,541.0330000000002,0.030667096047625672
RLY-2608,without hyperglycemia,N#Cc1c(-c2cc(NC(=O)c3cc(F)cc(C(F)(F)F)c3)c3c(c2)C(=O)N[C@H]3c2cc(F)ccc2Cl)ccc2ncnn12,300,tensor([40]),PAIR_26,-2.208571195602417,-0.11662320792675018,0.9948085394864999,0.7644987718651758,0.0039688651867573485,608.914,0.006517940442751109
NVL-520,Off-target side effects,CCn1ncc2c1-c1cnc(N)c(c1)O[C@H](C)c1cc(F)ccc1-c1nn(C)nc1C2,300,tensor([40]),PAIR_27,-1.5367491245269775,-0.03818432241678238,0.9719149080782745,0.9158317121169934,0.025721217819636988,419.4640000000001,0.06131924985132688
Fenebrutinib,,C[C@H]1CN(C2COC2)CCN1c1ccc(Nc2cc(-c3ccnc(N4CCn5c(cc6c5CC(C)(C)C6)C4=O)c3CO)cn(C)c2=O)nc1,300,tensor([40]),PAIR_28,-1.3295766115188599,-0.04376278072595596,0.9541349996989397,0.9041431977648113,0.04146852803768472,664.8110000000003,0.06237641681272527
AZD4747,,C=CC(=O)N1CCN2Cc3cc(C#CC)c(-c4c(O)cccc4Cl)c(F)c3OC[C@H]2C1,300,tensor([40]),PAIR_29,-2.506615400314331,-0.2434149831533432,0.9978834101990289,0.5709328302011178,0.0012084306054432332,440.9020000000002,0.0027408145244141166
LY3499446,clinical trial was discontinued due to toxicity,C=CC(=O)N1CCN(c2ncnc3c(F)c(-c4ccc(F)c5sc(N)nc45)c(Cl)cc23)CC1,300,tensor([40]),PAIR_30,-1.9147121906280518,0.5612292289733887,0.9888188964864566,3.6410716817766655,0.04071119937417645,486.93500000000023,0.08360705099074092
JDQ443,,C=CC(=O)N1CC2(CC(n3nc(-c4ccc5c(cnn5C)c4)c(-c4c(Cl)c(C)cc5[nH]ncc45)c3C)C2)C1,300,tensor([40]),PAIR_31,-2.0499727725982666,0.1754199117422104,0.9920790108564045,1.4976830398053445,0.01186313109884526,526.0440000000002,0.022551594731325245
ERAS-5024,"pseudo-allergic reactions,In vivo toxicologic",N#Cc1c(N)sc2c(F)ccc(-c3c(C(F)(F)F)cc4c(N5CC6CCC(C5)N6)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,300,tensor([40]),PAIR_32,-1.6962462663650513,-0.45867791771888733,0.9808550281010545,0.3477939974539905,0.006658506307878565,673.687,0.00988367937614733
MRTX-1133,,C#Cc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CC6CCC(C5)N6)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,300,tensor([40]),PAIR_33,-1.9122658967971802,-0.3871232271194458,0.9887500835087872,0.4100877278046195,0.00461345269187316,600.6450000000003,0.007680830926542563
RMC-9805,,CO[C@@H](C)c1ncc(N2CCN(C3CC3)CC2)cc1-c1c2c3cc(ccc3n1CC(F)(F)F)N1CCO[C@@H](C[C@H](NC(=O)[C@H](C3CCCC3)N3CC[C@]4(CCN(C(=O)[C@H]5[C@@H](C6CC6)N5C)C4)C3)C(=O)N3CCC[C@H](N3)C(=O)OCC(C)(C)C2)C1,300,tensor([40]),PAIR_34,-1.9231696128845215,-0.459796279668808,0.9890538349777215,0.34689953710628546,0.0037972195793174314,1168.4609999999989,0.0032497615062183805
TNO155,"Ph.1 trial shows a good safety,but the drug activity is not good",C[C@@H]1OCC2(CCN(c3cnc(Sc4ccnc(N)c4Cl)c(N)n3)CC2)[C@@H]1N,300,tensor([40]),PAIR_35,-0.9084962606430054,-0.3359639644622803,0.8774238293582481,0.46135585392438416,0.05655123387720646,421.9580000000003,0.13402100179924642
Deucravacitinib,,[2H]C([2H])([2H])NC(=O)c1nnc(NC(=O)C2CC2)cc1Nc1cccc(-c2ncn(C)n2)c1OC,300,tensor([40]),PAIR_36,-0.9285327196121216,0.31337839365005493,0.8829956252335041,2.0576826402743955,0.24075787079317823,425.4673053340002,0.5658669133323384
Brepocitinib,,Cn1cc(Nc2nccc(N3CC4CCC(C3)N4C(=O)[C@@H]3CC3(F)F)n2)cn1,300,tensor([40]),PAIR_37,-1.082377314567566,0.015104718506336212,0.9181958797945916,1.035391793639422,0.08469931474657268,389.41,0.2175067788361179
MK-8666,Hepatobiliary disorders,Cc1cc(OCCCS(C)(=O)=O)cc(C)c1-c1cccc(COc2cc3c(cn2)[C@H]2[C@@H](C3)[C@@H]2C(=O)O)c1,300,tensor([40]),PAIR_38,-1.5826975107192993,0.18959097564220428,0.9748350212449473,1.5473586093780123,0.03893924653144564,521.6350000000003,0.0746484544393026
PF-06939999,Blood and lymphatic system disorders,Cc1ncnc2c1ccn2[C@@H]1CC(Oc2cc(C(F)F)c(F)c3c2CNCC3)[C@@H](O)[C@H]1O,300,tensor([40]),PAIR_39,-0.9415962100028992,-0.12207996845245361,0.8864923491057711,0.754953202187503,0.08569296451537926,448.44500000000016,0.19108912913596815
Tofacitinib,Cardiac disorders;Vascular disorders,C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12,300,tensor([40]),PAIR_40,-0.17125320434570312,0.23491281270980835,0.32619131539886054,1.7175635410918093,1.1573092303419472,312.377,3.7048477651746037
